project,summary,skills,key_features,concepts,project_type,github_url
face-api.js,"JavaScript API for face detection and face recognition in the browser and nodejs with tensorflow.js. It provides functionalities such as age estimation, emotion recognition, face detection, face landmarks, face recognition, and gender recognition. The API is implemented on top of tensorflow.js core and has live demos and tutorials available. It can be used for realtime face tracking and recognition.","[""JavaScript"", ""TypeScript"", ""TensorFlow.js"", ""Node.js""]","[""Face Detection"", ""Face Recognition"", ""Age Estimation"", ""Emotion Recognition"", ""Face Landmarks"", ""Gender Recognition""]","[""Machine Learning"", ""Face Recognition"", ""Object Detection""]",Computer Vision,https://github.com/justadudewhohacks/face-api.js
DeepLearning,"A deep learning tutorial repository providing learning resources and materials for beginners, covering topics such as CNN, GAN, and machine learning. It includes a curated list of articles, tutorials, and courses. The repository utilizes Jupyter Notebook for its tech stack. The project aims to provide a comprehensive learning path for AI and deep learning.","[""Python"", ""Jupyter Notebook"", ""PyTorch"", ""TensorFlow"", ""MXNet""]","[""Tutorial materials"", ""Curated learning resources"", ""Jupyter Notebook integration""]","[""Machine Learning"", ""Deep Learning"", ""CNN"", ""GAN"", ""RNN""]",Tutorial/Educational,https://github.com/Mikoto10032/DeepLearning
awesome-tensorflow,"A curated list of dedicated resources for TensorFlow, including models, projects, libraries, tools, and tutorials.","[""TensorFlow""]","[""Models"", ""Libraries"", ""Tutorials""]","[""Machine Learning""]",Curated Resource List,https://github.com/jtoy/awesome-tensorflow
TensorFlow-Course,"This repository provides simple and ready-to-use tutorials for TensorFlow, including source code and documentation for deep learning.","[""Python"", ""TensorFlow"", ""Jupyter Notebook""]","[""Tutorials"", ""Source Code"", ""Documentation""]","[""Deep Learning""]",Education,https://github.com/instillai/TensorFlow-Course
cvat,"CVAT is a platform for building high-quality visual datasets for vision AI, offering open-source, cloud, and enterprise products for image, video, and 3D annotation with AI-assisted labeling, quality assurance, team collaboration, analytics, and developer APIs. It provides a range of tools and services for computer vision annotation. CVAT supports various annotation tasks, including object detection, semantic segmentation, and image classification. It also offers features like team collaboration, analytics, and developer APIs.","[""Python"", ""PyTorch"", ""TensorFlow""]","[""AI-assisted labeling"", ""quality assurance"", ""team collaboration"", ""analytics"", ""developer APIs""]","[""Computer Vision"", ""Deep Learning"", ""Object Detection"", ""Semantic Segmentation"", ""Image Classification""]",Computer Vision Annotation Tool,https://github.com/cvat-ai/cvat
kubeflow,"Kubeflow is a machine learning toolkit for Kubernetes, providing a foundation of tools for AI platforms. It is composable, modular, portable, and scalable, covering every stage of the AI lifecycle. Kubeflow offers modular, scalable, and extensible tools to support AI use cases. It is designed for AI practitioners, platform administrators, and developers.","[""Python"", ""TensorFlow"", ""Kubernetes"", ""Jupyter""]","[""Machine Learning"", ""Modular Architecture"", ""Scalability"", ""Portability""]","[""Machine Learning"", ""Kubernetes"", ""Microservices"", ""Modular Design""]",Machine Learning Platform,https://github.com/kubeflow/kubeflow
nlp-tutorial,"A Natural Language Processing tutorial for deep learning researchers, focusing on PyTorch and implementing various NLP models with minimal code. The tutorial covers basic embedding models, neural network language models, and other topics. It is designed for beginners and uses PyTorch version 1.0 or higher. The tutorial also includes examples and papers for further learning.","[""PyTorch"", ""TensorFlow"", ""Jupyter Notebook""]","[""Basic Embedding Model"", ""Neural Network Language Model"", ""Predict Next Word""]","[""Natural Language Processing"", ""Deep Learning"", ""Neural Networks""]",Tutorial,https://github.com/graykode/nlp-tutorial
DeepLearningExamples,"This repository provides State-of-the-Art Deep Learning examples that are easy to train and deploy, achieving the best reproducible accuracy and performance with NVIDIA CUDA-X software stack running on NVIDIA Volta, Turing and Ampere GPUs. The examples are organized by models and are suitable for various applications such as computer vision, natural language processing, and speech recognition. The repository uses Jupyter Notebook and supports multiple deep learning frameworks. The examples are also available in a monthly updated Docker container on the NVIDIA GPU Cloud (NGC) container registry.","[""Python"", ""Jupyter Notebook"", ""PyTorch"", ""TensorFlow"", ""TensorFlow2"", ""MXNet"", ""PaddlePaddle"", ""CUDA"", ""cuDNN"", ""NCCL"", ""cuBLAS"", ""Docker""]","[""State-of-the-Art Deep Learning models"", ""Reproducible accuracy and performance"", ""Easy to train and deploy"", ""Support for multiple frameworks"", ""Monthly updated Docker container""]","[""Deep Learning"", ""Computer Vision"", ""Natural Language Processing"", ""Docker"", ""CI/CD""]",Machine Learning,https://github.com/NVIDIA/DeepLearningExamples
tfjs-models,"This repository hosts pre-trained TensorFlow.js models that can be used in any project. The models are hosted on NPM and unpkg, and can be used directly or in a transfer learning setting. The API is designed to be used by non-machine learning experts. The repository aims to provide a set of models that complement each other and can be used as building blocks in other apps.","[""TypeScript"", ""TensorFlow.js""]","[""Pre-trained models"", ""Transfer learning"", ""NPM hosting"", ""unpkg hosting""]","[""Machine Learning"", ""Transfer Learning""]",Machine Learning Models,https://github.com/tensorflow/tfjs-models
Virgilio,"Virgilio is a mentor for Data Science E-Learning, providing a guided path for studying data science and related topics. It utilizes a GenAI Framework for robust and easy-to-learn functionality. The project aims to simplify the process of studying and reading through the vast amount of information available on the internet. It focuses on innovative fields such as data science, machine learning, and computer vision.","[""Python"", ""Jupyter Notebook"", ""Scikit-learn"", ""TensorFlow""]","[""Guided learning path"", ""GenAI Framework""]","[""Machine Learning"", ""Data Science"", ""Computer Vision"", ""NLP""]",E-Learning,https://github.com/virgili0/Virgilio
horovod,"Horovod is a distributed training framework for deep learning models. It supports TensorFlow, Keras, PyTorch, and Apache MXNet. The framework allows for scalable and efficient training of models. It is designed for use with various technologies such as MPI and Ray.","[""Python"", ""TensorFlow"", ""Keras"", ""PyTorch"", ""Apache MXNet"", ""MPI""]","[""Distributed training"", ""Scalable training"", ""Efficient training""]","[""Distributed training"", ""Deep learning"", ""Machine Learning""]",Deep learning framework,https://github.com/horovod/horovod
stylegan,"This repository contains the official TensorFlow implementation of a style-based generator architecture for generative adversarial networks, allowing control over different aspects of generated images.","[""Python"", ""TensorFlow""]","[""Generative Adversarial Networks"", ""Style-Based Generator""]","[""Generative Adversarial Networks"", ""Machine Learning""]",Machine Learning,https://github.com/NVlabs/stylegan
nni,"An open source AutoML toolkit for automating the machine learning lifecycle, including feature engineering, neural architecture search, model compression, and hyper-parameter tuning. It supports various machine learning algorithms and frameworks. The project utilizes Python as its primary programming language. It aims to simplify the machine learning process.","[""Python"", ""PyTorch"", ""TensorFlow""]","[""Automated Machine Learning"", ""Feature Engineering"", ""Neural Architecture Search"", ""Model Compression"", ""Hyper-parameter Tuning""]","[""AutoML"", ""Machine Learning"", ""Deep Learning"", ""Neural Networks"", ""Hyperparameter Optimization"", ""Model Compression"", ""Neural Architecture Search""]",Machine Learning,https://github.com/microsoft/nni
facenet,"Face recognition using Tensorflow, implementing ideas from FaceNet and Deep Face Recognition papers. The project utilizes computer vision and deep learning techniques for face detection and recognition.","[""Python"", ""Tensorflow""]","[""Face recognition"", ""Face detection""]","[""Computer Vision"", ""Deep Learning"", ""Face Recognition""]",Machine Learning,https://github.com/davidsandberg/facenet
deeplearning4j,"Deeplearning4j is a suite of tools for deploying and training deep learning models using the JVM, with features including model import and a modular math library. It supports various frameworks and languages, including Java, Python, and Scala. The project aims to support all the needs of a JVM-based deep learning application. It also includes tools for linear algebra and neural networks.","[""Java"", ""Python"", ""Scala"", ""C++""]","[""Model import"", ""Modular math library"", ""Deep learning model deployment""]","[""Deep Learning"", ""Neural Networks"", ""Linear Algebra""]",Artificial Intelligence,https://github.com/deeplearning4j/deeplearning4j
